               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.024512,            0.019665,          0.00075109,             0.80746,             0.83602,             0.85495,             0.51105,            0.030729,            0.018543,          0.00027252,            0.003862,            0.003862,            0.003862
                  64,            0.024289,            0.019488,          0.00058179,             0.80349,             0.85182,             0.86731,             0.51878,            0.030737,            0.018644,          0.00017386,            0.003763,            0.003763,            0.003763
                  65,            0.024475,            0.019455,          0.00051285,             0.80938,             0.83404,             0.86197,             0.52533,            0.030015,            0.018784,          0.00014745,            0.003664,            0.003664,            0.003664
                  66,            0.024028,            0.019302,          0.00054988,              0.8059,             0.85565,             0.87526,             0.52708,             0.03064,            0.018283,          0.00038079,            0.003565,            0.003565,            0.003565
                  67,            0.023852,            0.019058,          0.00092248,             0.80996,             0.85419,             0.85775,             0.52071,            0.030209,             0.01868,          0.00012796,            0.003466,            0.003466,            0.003466
                  68,            0.024083,            0.019781,          0.00063903,             0.80161,             0.85442,             0.86382,             0.51632,            0.030627,            0.018467,          0.00029977,            0.003367,            0.003367,            0.003367
                  69,            0.023606,            0.019196,          0.00056267,             0.78605,             0.87237,              0.8687,              0.5191,            0.030755,            0.019072,          0.00016439,            0.003268,            0.003268,            0.003268
                  70,            0.023509,            0.019388,           0.0011847,             0.79374,             0.86497,             0.86463,             0.51899,            0.030681,            0.019088,          0.00018028,            0.003169,            0.003169,            0.003169
                  71,            0.023465,            0.019221,          0.00082267,             0.80987,             0.84286,             0.86444,             0.51939,            0.030617,            0.018969,           0.0002444,             0.00307,             0.00307,             0.00307
                  72,            0.023048,            0.018638,          0.00044619,             0.78977,             0.87154,             0.86483,             0.52256,            0.030642,            0.019116,          0.00013897,            0.002971,            0.002971,            0.002971
